A02AD01 Magnesio idrossido/algeld 020702054 MAALOX 40 cpr mast 800 mg SANOFI-AVENTIS RR 2,17 2,16
A02AD01 Magnesio idrossido/algeld 020702015 MAALOX os sosp 200 ml 6,9% SANOFI-AVENTIS RR 1,50 1,49
A02AD01 Magnesio idrossido/algeld 020702155 MAALOX "TC" os sosp 200 ml SANOFI-AVENTIS RR 2,53 2,51
A02AD01 Magnesio idrossido/algeld 020702167 MAALOX "TC" 40 cpr mast 300 mg + 600 mg SANOFI-AVENTIS RR 2,53 2,51
A02AD02 Magaldrato 033232036 GADRAL os sosp 250 ml THERABEL GIENNE PHARMA RR 4,39 4,36
A02AD02 Magaldrato 033232012 GADRAL 40 cpr mast 800 mg THERABEL GIENNE PHARMA RR 5,03 4,97 X X
A02AD02 Magaldrato 033232024 GADRAL 40 bust 800 mg THERABEL GIENNE PHARMA RR 6,85 6,77 X X
A02AD02 Magaldrato 033231010 MAGALTOP 40 cpr mast 800 mg THERABEL GIENNE PHARMA RR 5,03 4,97 X X
A02AD02 Magaldrato 033231022 MAGALTOP 40 bust 800 mg THERABEL GIENNE PHARMA RR 6,85 6,77 X X
A02AD02 Magaldrato 034290015 MAGRALIBI os sosp 250 ml 80 mg/ml I.B.I. LORENZINI RR 4,34 4,31
A02AD02 Magaldrato 034290027 MAGRALIBI 40 cpr mast 800 mg I.B.I. LORENZINI RR 4,78 4,75
A02AD02 Magaldrato 027103047 RIOPAN gel os 80 mg/ml ALTANA PHARMA RR 4,39 4,36
A02AD02 Magaldrato 027103023 RIOPAN 40 cpr mast 800 mg ALTANA PHARMA RR 5,03 4,97 X X
A02AD02 Magaldrato 027103035 RIOPAN 40 bust gel os 80 mg/ml ALTANA PHARMA RR 6,85 6,77 X X
A02BA01 Cimetidina 024464087 BIOMAG 30 cpr 800 mg 48 BONISCONTRO & GAZZONE RR 23,02 22,88 G
A02BA01 Cimetidina 024124024 BRUMETIDINA 50 cpr 400 mg 48 BRUSCHETTINI RR 16,60 16,50 G
A02BA01 Cimetidina 033956020 CIMETIDINA 50 cpr 400 mg 48 TEVA RR 14,95 14,86 G
A02BA01 Cimetidina 023572023 TAGAMET 12 fiale IM EV 200 mg 2 ml 48 GLAXOSMITHKLINE RR 8,11 8,06 G
A02BA01 Cimetidina 023572136 TAGAMET 30 bust polv os 800 mg 48 GLAXOSMITHKLINE RR 27,70 27,53 G
A02BA01 Cimetidina 023572062 TAGAMET 50 cpr 400 mg 48 GLAXOSMITHKLINE RR 19,33 19,21 G
A02BA01 Cimetidina 023572148 TAGAMET 50 bust polv os 400 mg 48 GLAXOSMITHKLINE RR 19,51 19,39 G
A02BA01 Cimetidina 023572124 TAGAMET 30 cpr 800 mg 48 GLAXOSMITHKLINE RR 27,53 27,36 G
A02BA01 Cimetidina 024149054 TEMIC 30 cpr 800 mg 48 FARMA 1 RR 23,02 22,88 G
A02BA01 Cimetidina 024443057 ULCEDIN 50 cpr 400 mg 48 AGIPS RR 15,28 15,19 G
A02BA01 Cimetidina 024443069 ULCEDIN 30 cpr 800 mg 48 AGIPS RR 23,02 22,88 G
A02BA01 Cimetidina 024443083 ULCEDIN 30 bust polv os 800 mg 48 AGIPS RR 23,79 23,65 G
A02BA01 Cimetidina 024496073 ULCOMEDINA 50 cpr 400 mg 48 DE SALUTE RR 14,95 14,86 G
A02BA01 Cimetidina 024612071 ULIS 30 cpr 800 mg 48 S.F. GROUP RR 23,02 22,88 G
A02BA01 Cimetidina 024612083 ULIS 30 bust polv os 800 mg 48 S.F. GROUP RR 23,02 22,88 G
A02BA02 Ranitidina 035333020 DOLILUX 20 cpr riv 150 mg 48 FARMA 1 RR 6,23 6,19 G
